wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
3050.854846120364,3414.0,0.687944,0.76953,0.5184,74,89,False,PLASMA
3048.926366445193,3432.0,0.644336,0.730375,0.5211,74,89,False,PLASMA
3046.997886770022,3359.0,0.827178,0.8814,0.51,74,89,False,PLASMA
3045.069407094851,3177.0,0.700251,0.776476,0.4824,74,89,False,PLASMA
3043.14092741968,2943.0,0.244042,0.332349,0.4469,74,89,False,PLASMA
3041.212447744509,2991.0,0.31492,0.420628,0.4541,74,89,False,PLASMA
3039.283968069338,3132.0,0.592668,0.688143,0.4756,74,89,False,PLASMA
3037.355488394167,3160.0,0.658746,0.7434,0.4798,74,89,False,PLASMA
3035.427008718997,3120.0,0.56531,0.660393,0.4737,74,89,False,PLASMA
3033.498529043825,2979.0,0.296046,0.39961,0.4523,74,89,False,PLASMA
3031.570049368655,2902.0,0.193052,0.266712,0.4406,74,89,False,PLASMA
3029.641569693484,2858.0,0.147543,0.210697,0.434,74,89,False,PLASMA
3027.713090018313,2813.0,0.109986,0.1638,0.4271,74,89,False,PLASMA
3025.784610343142,2797.0,0.098619,0.148316,0.4247,74,89,False,PLASMA
3023.856130667971,2802.0,0.102066,0.152599,0.4254,74,89,False,PLASMA
3021.9276509928,2845.0,0.135805,0.195765,0.432,74,89,False,PLASMA
3019.999171317629,2886.0,0.175438,0.246841,0.4382,74,89,False,PLASMA
3018.070691642458,2889.0,0.178646,0.250893,0.4387,74,89,False,PLASMA
3016.142211967287,2848.0,0.138448,0.198824,0.4324,74,89,False,PLASMA
3014.213732292117,2844.0,0.134933,0.194875,0.4318,74,89,False,PLASMA
3012.285252616945,2821.0,0.116045,0.171487,0.4283,74,89,False,PLASMA
3010.356772941775,2815.0,0.111477,0.165055,0.4274,74,89,False,PLASMA
3008.428293266604,2798.0,0.099301,0.149048,0.4248,74,89,False,PLASMA
3006.499813591433,2765.0,0.078705,0.121231,0.4198,74,89,False,PLASMA
3004.571333916262,2687.0,0.043567,0.068629,0.408,74,89,False,PLASMA
3002.642854241091,2586.0,0.018528,0.030054,0.3927,74,89,True,PLASMA
3000.71437456592,2494.0,0.007778,0.013354,0.3787,74,89,True,PLASMA
2998.785894890749,2371.0,0.00213,0.003902,0.36,74,89,True,PLASMA
2996.857415215578,2278.0,0.000721,0.001465,0.3459,74,89,True,PLASMA
2994.928935540408,2235.0,0.000424,0.000892,0.3394,74,89,True,PLASMA
2993.000455865237,2237.0,0.000435,0.000912,0.3397,74,89,True,PLASMA
2991.071976190066,2241.0,0.000457,0.000956,0.3403,74,89,True,PLASMA
2989.143496514895,2246.0,0.000486,0.001012,0.341,74,89,True,PLASMA
2987.215016839724,2265.0,0.000615,0.001267,0.3439,74,89,True,PLASMA
2985.286537164553,2298.0,0.000917,0.00181,0.3489,74,89,True,PLASMA
2983.358057489382,2305.0,0.000997,0.001957,0.35,74,89,True,PLASMA
2981.429577814211,2332.0,0.001367,0.002592,0.3541,74,89,True,PLASMA
2979.501098139041,2376.0,0.002252,0.004106,0.3608,74,89,True,PLASMA
2977.572618463869,2438.0,0.004397,0.007722,0.3702,74,89,True,PLASMA
2975.644138788698,2502.0,0.008417,0.014354,0.3799,74,89,True,PLASMA
2973.715659113528,2578.0,0.01724,0.028204,0.3914,74,89,True,PLASMA
2971.787179438357,2668.0,0.037382,0.059253,0.4051,74,89,False,PLASMA
2969.858699763186,2737.0,0.064087,0.099315,0.4156,74,89,False,PLASMA
2967.930220088015,2793.0,0.095929,0.144555,0.4241,74,89,False,PLASMA
2966.001740412844,2829.0,0.122364,0.17875,0.4295,74,89,False,PLASMA
2964.073260737673,2868.0,0.157088,0.222251,0.4355,74,89,False,PLASMA
2962.144781062502,2899.0,0.189654,0.262492,0.4402,74,89,False,PLASMA
2960.216301387331,2939.0,0.238686,0.325636,0.4462,74,89,False,PLASMA
2958.287821712161,2962.0,0.27063,0.367249,0.4497,74,89,False,PLASMA
2956.359342036989,2980.0,0.29759,0.400985,0.4525,74,89,False,PLASMA
2954.430862361819,2999.0,0.327933,0.435723,0.4554,74,89,False,PLASMA
2952.502382686648,3007.0,0.341289,0.448016,0.4566,74,89,False,PLASMA
2950.573903011477,3009.0,0.344682,0.45092,0.4569,74,89,False,PLASMA
2948.645423336306,3001.0,0.33124,0.439353,0.4557,74,89,False,PLASMA
2946.716943661135,3007.0,0.341289,0.448016,0.4566,74,89,False,PLASMA
2944.788463985964,3008.0,0.342983,0.449467,0.4567,74,89,False,PLASMA
2942.859984310793,3012.0,0.349811,0.456068,0.4573,74,89,False,PLASMA
2940.931504635622,3019.0,0.361967,0.467924,0.4584,74,89,False,PLASMA
2939.003024960452,3029.0,0.379786,0.48684,0.4599,74,89,False,PLASMA
2937.074545285281,3054.0,0.426636,0.539652,0.4637,74,89,False,PLASMA
2935.146065610109,3063.0,0.444293,0.556459,0.4651,74,89,False,PLASMA
2933.217585934939,3073.0,0.464394,0.568584,0.4666,74,89,False,PLASMA
2931.289106259768,3085.0,0.489168,0.588542,0.4684,74,89,False,PLASMA
2929.360626584597,3090.0,0.499696,0.597446,0.4692,74,89,False,PLASMA
2927.432146909426,3093.0,0.506071,0.599439,0.4696,74,89,False,PLASMA
2925.503667234255,3091.0,0.501817,0.598109,0.4693,74,89,False,PLASMA
2923.575187559084,3093.0,0.506071,0.599439,0.4696,74,89,False,PLASMA
2921.646707883913,3084.0,0.487076,0.587877,0.4683,74,89,False,PLASMA
2919.718228208742,3085.0,0.489168,0.588542,0.4684,74,89,False,PLASMA
2917.789748533572,3079.0,0.476692,0.579003,0.4675,74,89,False,PLASMA
2915.861268858401,3070.0,0.458311,0.567503,0.4661,74,89,False,PLASMA
2913.93278918323,3060.0,0.438362,0.550836,0.4646,74,89,False,PLASMA
2912.004309508059,3059.0,0.436395,0.549268,0.4645,74,89,False,PLASMA
2910.075829832888,3071.0,0.460334,0.568166,0.4663,74,89,False,PLASMA
2908.147350157717,3077.0,0.472573,0.574914,0.4672,74,89,False,PLASMA
2906.218870482546,3080.0,0.478759,0.580591,0.4677,74,89,False,PLASMA
2904.290390807375,3083.0,0.48499,0.586285,0.4681,74,89,False,PLASMA
2902.361911132204,3077.0,0.472573,0.574914,0.4672,74,89,False,PLASMA
2900.433431457033,3074.0,0.466431,0.570165,0.4667,74,89,False,PLASMA
2898.504951781862,3069.0,0.456293,0.565922,0.466,74,89,False,PLASMA
2896.576472106692,3073.0,0.464394,0.568584,0.4666,74,89,False,PLASMA
2894.647992431521,3064.0,0.446281,0.558034,0.4652,74,89,False,PLASMA
2892.71951275635,3067.0,0.452273,0.563682,0.4657,74,89,False,PLASMA
2890.791033081179,3082.0,0.482908,0.584694,0.468,74,89,False,PLASMA
2888.862553406008,3073.0,0.464394,0.568584,0.4666,74,89,False,PLASMA
2886.934073730837,3068.0,0.454281,0.564342,0.4658,74,89,False,PLASMA
2885.005594055666,3071.0,0.460334,0.568166,0.4663,74,89,False,PLASMA
2883.077114380495,3054.0,0.426636,0.539652,0.4637,74,89,False,PLASMA
2881.148634705325,3062.0,0.442311,0.554886,0.4649,74,89,False,PLASMA
2879.220155030153,3068.0,0.454281,0.564342,0.4658,74,89,False,PLASMA
2877.291675354983,3096.0,0.512488,0.605164,0.4701,74,89,False,PLASMA
2875.363195679812,3138.0,0.60657,0.696872,0.4765,74,89,False,PLASMA
2873.434716004641,3172.0,0.687944,0.76953,0.4816,74,89,False,PLASMA
2871.50623632947,3200.0,0.75784,0.825948,0.4859,74,89,False,PLASMA
2869.577756654299,3228.0,0.829775,0.882936,0.4901,74,89,False,PLASMA
2867.649276979128,3240.0,0.861086,0.903667,0.492,74,89,False,PLASMA
2865.720797303957,3249.0,0.884716,0.915885,0.4933,74,89,False,PLASMA
2863.792317628786,3251.0,0.889982,0.917607,0.4936,74,89,False,PLASMA
2861.863837953616,3245.0,0.8742,0.90993,0.4927,74,89,False,PLASMA
2859.935358278445,3243.0,0.86895,0.906937,0.4924,74,89,False,PLASMA
2858.006878603273,3240.0,0.861086,0.903667,0.492,74,89,False,PLASMA
2856.078398928103,3240.0,0.861086,0.903667,0.492,74,89,False,PLASMA
2854.149919252932,3244.0,0.871574,0.908435,0.4926,74,89,False,PLASMA
