wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
3050.854846120364,2808.0,0.492915,0.548961,0.468,75,80,False,SERUM
3048.926366445193,2883.0,0.676578,0.714946,0.4805,75,80,False,SERUM
3046.997886770022,2847.0,0.58504,0.634001,0.4745,75,80,False,SERUM
3045.069407094851,2622.0,0.176482,0.226609,0.437,75,80,False,SERUM
3043.14092741968,2319.0,0.014827,0.023071,0.3865,75,80,True,SERUM
3041.212447744509,2321.0,0.015123,0.023484,0.3868,75,80,True,SERUM
3039.283968069338,2598.0,0.150547,0.198307,0.433,75,80,False,SERUM
3037.355488394167,2719.0,0.315209,0.368226,0.4532,75,80,False,SERUM
3035.427008718997,2608.0,0.160977,0.209516,0.4347,75,80,False,SERUM
3033.498529043825,2363.0,0.022665,0.033623,0.3938,75,80,True,SERUM
3031.570049368655,2333.0,0.017012,0.025994,0.3888,75,80,True,SERUM
3029.641569693484,2423.0,0.038999,0.056217,0.4038,75,80,False,SERUM
3027.713090018313,2445.0,0.047097,0.067131,0.4075,75,80,False,SERUM
3025.784610343142,2398.0,0.031262,0.045668,0.3997,75,80,True,SERUM
3023.856130667971,2339.0,0.018032,0.027442,0.3898,75,80,True,SERUM
3021.9276509928,2324.0,0.015577,0.024091,0.3873,75,80,True,SERUM
3019.999171317629,2347.0,0.019474,0.029462,0.3912,75,80,True,SERUM
3018.070691642458,2355.0,0.021017,0.031361,0.3925,75,80,True,SERUM
3016.142211967287,2330.0,0.016521,0.025397,0.3883,75,80,True,SERUM
3014.213732292117,2330.0,0.016521,0.025397,0.3883,75,80,True,SERUM
3012.285252616945,2348.0,0.019662,0.029628,0.3913,75,80,True,SERUM
3010.356772941775,2369.0,0.023974,0.035359,0.3948,75,80,True,SERUM
3008.428293266604,2375.0,0.025347,0.037241,0.3958,75,80,True,SERUM
3006.499813591433,2353.0,0.020622,0.030892,0.3922,75,80,True,SERUM
3004.571333916262,2292.0,0.011301,0.017875,0.382,75,80,True,SERUM
3002.642854241091,2216.0,0.005026,0.008222,0.3693,75,80,True,SERUM
3000.71437456592,2139.0,0.002062,0.003486,0.3565,75,80,True,SERUM
